MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,MedHouseVal
2.1591,40,6.891,1.149,761,3.193,32.5105,-115.2055,3.3866
4.6115,15,5.772,1.672,734,3.399,38.5013,-120.2514,4.145
3.2278,33,5.064,1.497,1078,3.092,37.1987,-115.7051,4.1292
1.1258,20,5.24,1.547,536,2.809,36.9747,-121.5244,1.0367
3.1965,42,4.997,1.69,870,3.872,40.3773,-121.8251,3.412
2.2422,12,7.783,1.581,765,4.061,33.267,-118.7624,3.8918
1.9378,37,9.013,2.532,704,3.56,36.0847,-115.4672,3.0272
3.6908,9,6.532,2.796,643,3.565,36.7374,-123.4765,3.0828
4.5517,23,4.842,1.667,352,3.659,33.6773,-118.5643,5.5
4.3303,8,7.202,2.482,585,3.426,33.3138,-118.0977,4.5815
1.7867,32,8.55,2.13,604,3.695,34.2063,-118.4121,3.9827
2.3289,48,7.998,2.321,463,4.587,34.79,-122.2058,3.3409
3.2079,14,6.443,1.192,337,3.304,41.6776,-123.8266,3.4989
4.4272,27,6.177,2.034,503,3.569,37.0183,-115.1026,5.3007
2.1392,25,6.432,2.38,524,3.65,37.3477,-118.4676,2.897
2.4773,13,8.473,1.928,340,3.427,39.2165,-116.437,2.8609
1.5634,21,7.63,1.847,340,3.755,39.0005,-120.6734,2.4489
1.4947,45,5.992,1.788,233,2.649,37.2764,-124.0537,2.2103
4.0807,31,5.962,1.834,770,4.048,35.7285,-121.7746,4.8462
5.3555,37,5.879,1.604,1084,3.238,35.645,-123.7297,5.4406
2.6222,48,5.256,1.363,670,3.298,33.0483,-123.6785,3.2222
4.4896,43,8.723,2.266,543,3.629,41.0465,-122.2482,4.7911
3.257,5,5.538,1.648,331,3.059,39.8092,-117.8474,3.1879
1.9688,13,7.192,2.368,220,4.547,38.4218,-115.9134,1.4569
3.2566,28,5.675,1.689,654,3.305,36.2628,-115.8758,3.9331
5.8651,43,5.884,1.723,904,5.602,38.0334,-114.6536,5.5
2.67,25,6.331,1.342,438,4.083,37.1084,-117.608,3.4245
5.9436,51,7.278,2.499,1127,3.426,35.1024,-124.2915,5.5
0.7335,35,6.146,1.828,471,3.557,35.3364,-120.5373,2.2618
4.0999,47,5.184,1.442,1144,3.8,40.8076,-123.3297,4.482
2.8392,39,6.507,2.035,450,4.818,38.5316,-116.3366,3.026
2.3408,7,5.561,1.434,175,4.287,32.5135,-123.2433,2.9171
2.8459,38,9.122,2.547,909,4.238,35.6053,-123.3878,3.6916
1.0062,32,6.145,1.877,419,3.557,35.7295,-124.2038,1.7136
2.4355,3,5.668,1.508,307,3.427,39.2102,-114.4672,2.2098
3.2497,45,10.105,2.2,846,4.088,39.1543,-116.25,4.2607
5.6913,39,7.594,1.591,426,4.549,36.9095,-121.0002,5.5
2.0977,37,5.425,1.748,328,3.644,41.5343,-120.5474,3.0482
1.8144,50,5.535,1.652,1281,3.37,40.7862,-123.876,3.065
2.1151,22,7.167,2.126,600,3.211,40.729,-122.8419,2.3245
4.2961,8,6.541,1.582,324,2.945,35.8085,-121.2298,4.3039
3.2039,17,7.854,2.348,527,3.486,36.5945,-120.4274,3.3312
2.0857,27,5.674,1.589,1931,3.583,36.4801,-117.9902,3.3851
3.5136,33,7.531,2.033,703,3.707,36.6825,-120.8215,4.2625
2.8535,46,4.29,1.271,482,4.029,40.9475,-114.4767,3.6373
4.412,17,6.279,1.977,854,3.475,34.8666,-120.9007,4.7587
1.9136,42,5.724,2.218,529,4.893,40.1209,-114.6132,2.1544
2.3075,12,5.91,1.94,515,3.165,37.3834,-116.8365,2.5651
2.2343,48,6.345,2.176,479,4.116,34.8663,-115.0511,3.4341
1.3077,46,8.306,2.951,1019,3.13,37.5093,-117.1168,2.4597
3.1521,27,5.17,1.354,733,3.293,34.3567,-118.5299,4.7036
3.0973,48,4.325,1.228,1354,3.875,33.5277,-119.1546,4.5197
2.7252,8,5.282,1.346,775,4.349,40.4627,-121.4409,2.2328
2.4174,23,8.091,2.151,1427,3.57,39.1436,-121.3692,2.9563
1.3395,42,4.736,1.319,920,3.765,34.4473,-122.1563,2.593
2.2027,49,5.775,1.529,584,4.499,41.4518,-120.4518,3.4334
2.2902,29,7.765,2.417,621,3.129,32.7318,-123.1668,3.0147
1.82,50,6.404,2.06,1658,4.171,35.6662,-120.4301,3.4022
2.5077,20,8.288,1.945,1276,3.368,32.7057,-115.7457,3.4497
3.3268,16,4.434,1.261,1441,3.854,33.8518,-115.3619,4.2482
6.9803,17,6.069,1.729,401,4.028,34.2108,-117.7503,5.5
2.9662,16,8.694,1.968,260,3.149,40.1982,-121.8035,2.9617
3.0919,19,5.196,1.36,436,3.341,41.9339,-121.9763,2.9546
2.619,8,8.113,2.788,722,4.105,40.7395,-121.5817,2.3627
1.0415,38,6.176,2.118,481,3.58,38.5338,-119.2496,2.3831
2.6825,38,7.105,1.553,674,3.357,39.3678,-114.2473,3.292
2.8014,29,8.55,2.767,530,3.826,37.4668,-123.3536,2.4706
9.315,41,7.099,1.608,275,3.19,36.5142,-119.2446,5.5
2.469,36,5.753,1.61,824,3.146,39.0756,-117.3364,3.1683
3.1606,26,7.305,2.156,675,2.686,41.7446,-121.9206,3.2983
2.6715,31,5.675,1.916,1292,3.921,32.7745,-114.3243,3.2896
1.5154,44,6.865,1.999,720,3.736,35.4838,-120.8353,2.2272
4.8134,12,5.079,1.266,983,4.029,35.6356,-114.7103,4.4776
3.9589,17,6.521,1.57,441,4.471,36.4354,-118.2278,4.6915
4.0371,15,8.403,2.592,791,3.59,38.4555,-124.4572,3.8053
1.7251,9,6.097,1.636,996,3.681,37.3807,-121.2333,2.4717
5.4816,39,8.222,2.299,878,3.911,32.6779,-124.2737,5.5
1.3486,42,13.337,4.648,593,3.425,36.4103,-120.4945,2.0036
3.6453,48,6.443,2.073,792,3.031,38.3848,-114.7084,4.2715
8.1273,12,7.388,2.803,908,3.159,37.2958,-116.3203,5.5
1.6565,32,7.171,1.786,1212,3.697,40.7846,-117.9886,3.1122
2.048,25,6.795,1.797,502,4.32,36.2867,-118.8452,2.6694
2.8572,39,7.677,2.374,380,4.719,32.6193,-120.5879,3.7946
2.1133,18,6.16,2.408,438,3.568,35.2065,-122.2788,2.8833
1.2519,15,5.674,1.477,715,3.811,33.7889,-123.8435,2.2021
2.8131,32,4.835,1.46,666,4.952,34.8772,-122.5035,3.5367
1.5982,6,6.044,2.212,910,4.014,35.9398,-120.809,1.7466
3.4446,44,7.873,2.382,1007,3.794,38.9282,-119.0401,4.5819
1.7165,43,5.381,1.889,259,3.835,35.5796,-122.3538,2.1939
5.9001,35,6.826,2.716,522,4.054,40.899,-114.2695,5.5
1.8374,34,6.319,1.989,739,3.13,35.3459,-123.6931,2.1685
2.314,38,5.72,1.847,1161,4.165,33.8009,-123.5047,3.7127
4.0827,5,4.57,1.541,647,3.968,34.1042,-117.3327,4.0731
1.469,18,8.745,2.228,1316,4.379,41.3785,-116.5719,1.9183
3.0457,16,7.234,1.634,876,4.001,36.8207,-114.2893,3.9577
5.2256,8,11.97,3.686,804,4.334,36.3297,-118.9303,5.296
1.2168,25,8.196,2.202,629,3.26,33.1546,-122.7577,2.0078
2.9812,32,8.7,3.068,657,3.413,39.4666,-114.6517,3.3563
3.0955,26,4.652,1.469,784,3.803,39.0992,-114.2075,3.4233
4.0185,22,4.638,1.632,603,3.339,36.0695,-114.8031,4.3683
1.4645,31,6.539,1.569,1160,4.226,39.0718,-115.3476,2.298
1.4046,43,5.176,1.812,1032,3.048,35.9908,-123.6855,2.3556
3.5288,10,5.653,1.046,1210,3.633,33.195,-115.5238,4.3189
3.1534,12,11.563,2.822,395,3.427,39.5119,-114.4911,3.302
3.081,28,8.404,2.787,389,3.343,41.6694,-118.7007,3.061
3.2324,6,5.385,1.48,848,3.066,38.6588,-116.3878,3.2851
1.9348,20,4.204,1.176,638,3.741,35.1264,-117.5606,2.9818
3.053,5,5.3,1.619,757,3.673,35.0642,-121.4754,3.3516
3.1473,23,5.792,2.149,380,4.978,41.3253,-118.331,3.2087
1.9018,9,6.07,1.238,320,5.471,35.3813,-115.1616,2.0097
6.9094,29,5.053,1.832,747,3.195,39.7978,-119.288,5.5
3.445,16,8.29,3.029,454,2.858,38.6077,-118.3035,3.6113
1.4983,46,5.62,1.544,950,3.138,38.1297,-118.9196,2.7353
3.7745,22,7.444,1.975,488,3.685,34.2202,-121.5347,4.6031
1.6697,8,6.555,1.928,426,4.404,32.8269,-117.7415,2.2581
4.0291,20,7.939,2.097,214,3.469,37.1424,-119.1506,4.9744
4.8515,51,6.173,1.958,1241,4.052,41.8875,-122.0583,5.5
1.8034,14,5.396,1.747,942,3.317,34.3597,-115.0985,2.8858
4.4004,39,5.745,1.277,314,3.466,37.6003,-114.5245,4.7139
3.3414,37,5.761,1.463,245,3.81,38.8743,-123.9186,3.8755
4.1002,50,10.326,2.486,493,3.712,37.0949,-117.9653,5.4226
7.0174,34,6.586,2.046,1068,3.699,37.3159,-120.142,5.5
2.4044,11,6.488,2.229,511,3.189,38.7817,-118.9775,3.0198
1.8648,40,7.839,1.931,599,4.474,40.2416,-120.5748,2.73
1.7424,33,6.482,2.225,1091,4.468,35.6662,-119.5192,2.0521
1.8078,31,8.275,2.1,405,4.48,41.0431,-121.1039,2.8435
2.6155,44,6.008,2.018,472,3.374,37.1066,-123.2652,3.7798
3.2238,34,5.888,1.683,742,3.784,38.7878,-121.3287,3.6858
3.1216,50,5.34,1.484,578,3.447,33.5119,-117.4615,4.8389
4.1107,7,9.807,3.502,428,3.237,37.1786,-123.971,3.782
2.736,49,6.389,2.488,947,3.878,32.653,-120.4813,3.6485
5.6224,23,5.151,1.045,861,2.778,36.2147,-124.0559,5.5
2.3814,46,6.754,2.229,1008,4.22,33.0176,-120.7592,3.3573
10.5918,7,5.688,1.757,616,3.154,41.0213,-123.5801,5.5
3.7167,25,5.987,1.993,275,3.553,38.8916,-120.9338,3.4967
1.7708,3,6.92,1.578,668,2.727,40.0228,-115.7001,2.3988
1.5913,38,9.073,2.23,370,4.902,36.943,-118.0592,3.1368
3.4599,20,6.62,1.764,241,4.101,40.593,-117.3359,3.8992
2.4309,34,5.621,1.746,579,3.765,40.7939,-119.2101,2.652
3.8845,49,5.852,1.541,699,3.369,35.8898,-114.815,4.9293
3.4439,44,7.457,2.117,1479,3.196,36.0801,-118.8178,4.8149
2.6211,44,4.491,1.534,364,3.612,37.3283,-123.4049,2.8725
1.78,30,5.278,2.124,933,3.888,32.9013,-114.7024,2.7026
1.2745,17,6.777,2.29,299,3.596,41.9598,-123.1028,1.2327
2.1744,10,4.686,1.607,1255,4.023,35.9122,-114.0087,2.3909
4.1712,35,6.081,1.769,468,4.94,36.973,-119.9285,4.7592
3.0254,20,5.883,1.503,562,3.193,39.6702,-123.7284,3.234
1.4581,18,7.831,2.222,566,3.85,35.3264,-115.4269,2.1074
2.9642,45,6.158,1.829,972,4.851,34.4155,-123.5247,3.4382
3.2958,44,8.398,2.032,322,3.554,33.7108,-122.6685,4.2879
1.7473,27,6.589,2.245,608,3.644,37.5162,-120.1179,2.5408
2.9355,49,9.636,3.623,482,3.981,32.5522,-117.4,4.0817
2.7986,36,4.956,1.517,1996,4.112,39.2404,-123.228,3.2764
1.535,23,9.28,3.287,386,4.353,36.8832,-117.9624,2.2841
3.2508,32,5.962,2.149,182,3.778,37.5523,-116.3059,4.1511
3.5981,10,8.974,2.228,1551,3.319,35.0004,-123.2033,3.994
4.6717,11,8.395,1.789,850,4.041,34.1934,-117.7005,5.4297
4.6039,38,3.905,1.074,448,3.24,39.1499,-114.4318,4.7933
1.365,6,7.175,2.187,654,3.905,34.4976,-114.3424,1.8105
1.7008,41,8.045,1.932,445,3.761,39.9108,-122.8025,3.1524
3.5167,47,8.676,3.22,250,3.747,34.4349,-116.5231,4.7132
3.5145,34,5.149,2.046,612,3.674,38.3205,-115.6104,4.0863
3.5167,36,7.35,2.271,610,4.321,38.6168,-115.1659,3.6877
18.6597,37,6.752,1.694,788,4.076,37.3036,-121.1013,5.5
3.6163,17,7.101,2.303,408,4.123,41.9695,-121.6638,3.0486
4.796,40,8.048,2.018,451,3.478,36.0705,-123.9975,5.303
4.3798,40,8.341,2.979,550,2.957,40.8916,-120.3055,4.6345
3.7648,12,5.681,1.639,407,3.511,34.1077,-123.1985,4.2971
2.3219,21,6.853,2.305,1174,3.966,35.7035,-116.2443,2.9043
3.9729,40,6.537,2.256,1016,3.736,33.881,-122.9989,4.7501
1.847,19,6.171,2.017,513,3.493,38.2344,-115.9015,2.4856
2.4147,3,6.292,2.449,868,3.841,38.5634,-123.3701,1.914
2.1325,18,6.753,2.086,358,3.577,36.8083,-119.4535,2.9342
2.8319,51,5.741,1.578,528,3.745,39.3415,-120.4613,3.707
8.648,19,7.841,1.528,1382,2.826,40.7427,-118.1838,5.5
1.0686,47,8.559,1.59,918,4.169,39.8773,-119.0529,2.4882
3.831,6,5.504,1.831,768,4.073,34.7958,-118.2144,4.2295
1.2137,16,8.656,2.517,555,5.147,35.5438,-124.4899,1.6265
2.1469,8,5.506,1.427,651,3.358,36.1126,-123.1612,2.613
4.6855,48,7.867,1.922,319,3.458,34.4358,-119.0702,5.5
2.8071,18,8.652,2.916,565,3.815,35.9317,-122.0885,3.3566
1.5859,48,6.356,1.594,802,3.7,34.7614,-123.6987,3.1302
1.9009,43,5.514,2.104,656,4.728,41.9594,-122.2141,2.7879
3.8183,39,5.756,2.403,656,3.505,39.9409,-116.3115,4.3095
1.8867,49,6.996,1.784,479,3.636,40.6702,-118.8122,3.091
3.029,49,10.08,3.362,422,3.429,41.2604,-122.5042,3.9044
2.7809,12,4.697,1.512,403,4.687,38.8175,-124.3322,2.582
1.9625,45,6.619,1.659,586,3.996,34.1718,-120.7452,3.5006
7.9405,10,6.365,1.597,960,4.722,39.706,-120.7466,5.5
3.7321,7,5.908,1.736,432,5.87,32.6483,-116.7812,3.5418
0.9875,46,6.374,1.549,678,3.334,33.5757,-114.8459,2.8757
2.9839,1,5.809,2.06,670,4.372,32.7811,-120.5939,3.4268
1.9525,49,8.507,2.448,1058,3.582,33.7867,-117.2746,3.9332
4.1629,36,8.704,2.124,669,3.369,39.644,-117.8335,5.0352
1.8289,21,6.602,1.951,316,3.027,40.9121,-120.0682,2.4997
2.5667,37,6.296,2.036,1924,5.161,35.149,-123.8082,3.2477
3.4991,24,5.865,1.547,1081,4.321,33.6317,-119.5286,4.0371
4.1907,25,6.605,1.323,846,3.598,35.0931,-120.7815,5.0511
1.4916,7,9.802,3.002,498,4.078,38.6476,-118.723,1.56
2.2996,42,6.344,1.517,567,2.893,35.8269,-123.1833,3.518
2.1437,17,5.484,1.428,326,3.667,41.6309,-116.8955,2.8931
1.9608,29,5.978,1.933,562,3.334,33.7443,-116.2286,3.2004
6.5714,30,7.618,2.062,726,4.63,41.9083,-120.4212,5.5
3.3284,7,5.614,1.644,656,4.679,32.6183,-122.6596,3.6149
1.4471,33,6.437,2.399,1597,4.248,36.7911,-117.9524,2.562
4.3014,7,7.165,2.023,930,4.285,34.8922,-114.464,4.7665
7.8544,24,5.697,2.285,1082,3.387,37.8797,-117.1447,5.5
4.555,11,4.64,1.564,871,4.137,33.4172,-123.2034,4.4143
1.2716,9,5.25,1.33,721,3.063,40.8203,-120.3292,1.0307
2.1338,12,5.464,1.509,834,3.008,33.797,-114.8886,2.8695
5.1215,35,6.184,1.465,246,3.662,38.0802,-117.8386,5.5
1.9082,4,6.542,2.171,583,4.022,32.8168,-122.9549,2.1747
3.3937,36,7.738,2.834,330,4.064,35.4544,-116.8918,4.584
4.0041,28,5.101,1.439,368,3.114,33.9224,-120.7881,4.9994
1.7101,13,7.493,1.551,1208,2.993,41.7895,-119.3599,2.4023
2.6386,23,6.01,1.911,388,3.484,32.6142,-120.142,3.2668
0.5376,19,4.623,1.188,343,3.281,35.8478,-116.8802,1.1877
1.6287,42,6.5,1.719,808,4.072,35.3764,-122.212,3.0389
2.3958,37,8.652,2.73,642,3.22,38.745,-120.4221,3.2869
1.4566,39,7.841,2.835,831,5.01,33.0356,-116.6823,2.9617
6.1485,24,6.38,2.15,1600,3.923,40.2009,-117.0998,5.5
1.3297,16,8.282,2.663,885,3.64,36.932,-122.3817,1.6916
2.1814,33,6.748,1.971,306,3.161,36.8013,-120.818,3.2105
2.9019,12,8.016,1.875,1060,3.087,34.6545,-124.3492,3.4471
5.5881,34,4.722,1.499,595,3.549,37.1554,-118.9332,5.5
1.3259,7,5.081,1.706,723,3.421,35.957,-121.5501,1.7163
4.8626,11,7.577,2.048,290,2.923,34.8288,-124.3754,4.5415
2.7322,31,9.112,2.567,855,4.576,34.1023,-120.0406,3.8435
1.664,29,7.079,2.517,346,3.179,39.4192,-114.7679,2.2063
3.4248,13,5.861,1.643,868,3.917,33.8494,-114.8043,3.7094
3.0028,31,5.472,1.568,463,3.97,34.0958,-120.5929,3.7383
2.0135,2,6.077,1.796,954,2.966,37.9822,-119.7836,2.7477
2.8148,39,8.45,2.816,348,3.517,34.6477,-121.9518,3.6541
2.2419,15,6.044,1.902,304,3.05,36.8641,-123.7828,2.84
2.877,11,8.137,2.53,507,3.949,37.7527,-117.2138,3.8406
3.7851,34,7.451,2.801,759,3.752,35.1071,-116.0994,4.3786
6.0075,39,9.495,2.654,375,3.677,35.7638,-115.2589,5.5
1.4639,4,6.759,1.707,736,3.307,34.497,-114.6795,1.9
7.8973,11,6.416,2.253,1029,4.443,36.874,-114.8824,5.5
1.0242,29,8.23,2.564,343,3.52,41.9278,-124.2125,1.4848
2.5196,2,5.385,1.457,737,3.023,35.9458,-114.23,2.8319
3.6479,16,5.923,1.67,871,3.25,38.7066,-120.5152,3.7401
3.1283,39,4.707,1.112,603,2.82,38.541,-115.1959,3.9142
1.991,13,5.076,1.582,638,3.385,39.9716,-119.872,3.1099
2.4496,37,9.981,2.265,328,3.266,39.2632,-120.067,3.2832
2.1244,17,7.516,2.511,827,4.123,32.6119,-124.3825,1.8149
2.0245,21,4.971,1.361,685,4.048,35.4376,-123.9494,2.5163
4.157,44,8.414,1.938,717,3.836,40.7672,-117.4516,4.7421
3.2495,19,5.629,1.997,1867,4.285,37.6257,-114.6548,3.6814
1.9223,7,7.432,3.068,599,3.148,33.4901,-122.1438,2.2137
4.2623,38,7.408,2.384,781,3.897,35.1233,-123.5139,5.0247
3.1697,8,9.385,2.682,1266,3.039,35.1922,-122.2545,2.9375
4.0814,13,5.814,1.465,649,3.471,40.7952,-122.2706,4.0779
3.7241,37,5.589,1.75,464,3.91,37.7573,-121.4221,4.5774
1.7959,2,4.0,1.327,811,3.444,38.2791,-123.5052,1.6858
2.0542,41,6.321,1.898,472,4.768,35.9871,-122.027,2.8207
3.9497,11,7.571,2.61,1211,3.536,33.0729,-114.8266,4.0085
3.6884,24,7.804,2.932,860,4.19,33.2149,-115.1527,3.9029
2.69,6,8.526,2.021,432,3.578,36.4936,-121.1788,3.4089
2.8825,26,6.889,2.168,356,3.791,34.1862,-114.0326,3.2572
5.1492,7,7.214,1.478,719,3.527,33.4905,-121.3673,5.4817
2.0223,39,6.574,1.705,755,3.816,34.9913,-116.9208,3.0235
3.5735,19,7.541,2.534,356,4.839,39.5494,-117.7379,3.2691
2.4569,6,5.386,1.603,985,4.701,33.1937,-123.8222,2.5987
2.438,43,4.937,1.083,927,3.466,36.7581,-120.9059,3.2745
4.7086,29,5.495,1.937,789,3.597,40.3478,-114.5093,4.2806
4.1071,43,6.778,1.849,971,3.746,35.0453,-123.9659,5.1113
4.0827,39,5.034,1.724,405,4.091,35.3678,-122.6637,4.6457
5.2213,2,5.706,1.858,417,4.939,40.9,-114.3051,4.327
2.747,19,5.742,1.483,584,4.516,38.675,-124.0822,3.032
3.8228,4,7.666,2.633,484,3.577,40.0783,-119.8106,3.0816
2.3277,6,7.463,2.358,854,3.946,35.2474,-114.8573,2.4092
3.1966,49,6.577,2.031,995,3.844,41.9694,-114.5914,3.8652
2.547,37,7.131,1.972,467,3.408,33.8385,-114.2171,3.1904
2.8534,28,7.162,1.754,430,4.329,41.6384,-119.4461,2.8324
3.6604,30,6.019,1.68,1019,2.644,41.0699,-123.592,3.7972
1.8056,7,5.809,1.615,407,4.324,37.743,-116.3866,2.2323
7.7384,9,9.106,3.12,576,3.952,38.0603,-117.0557,5.5
1.6438,25,4.124,0.897,401,2.894,39.863,-118.4141,2.2457
1.4813,33,5.588,2.087,494,3.207,35.4144,-115.1735,2.2385
4.8504,1,6.216,2.339,313,2.798,37.511,-114.9285,4.2837
4.0383,51,7.301,1.956,1262,4.817,41.0726,-117.3259,4.9622
3.7138,6,8.301,3.072,1103,3.229,33.1484,-123.323,4.0594
3.7217,18,9.823,2.453,444,4.261,41.1025,-123.497,3.6563
2.7017,10,6.36,2.266,838,4.284,39.4234,-120.2094,2.1
1.7356,28,6.449,1.67,324,3.653,39.8135,-121.4266,2.625
2.8233,11,6.997,2.461,907,3.38,33.1148,-123.1037,3.2225
1.9375,33,5.822,1.328,427,4.012,34.2837,-118.0825,3.3216
4.4263,1,5.142,1.821,1222,3.838,41.29,-117.3229,3.8871
2.5256,13,6.354,2.316,858,4.278,33.6785,-117.1713,3.6538
1.799,37,7.605,1.723,554,3.15,38.4962,-122.6596,3.2454
2.3148,20,6.167,2.392,542,4.335,39.9356,-121.2886,2.135
3.3417,1,7.073,2.482,714,4.559,34.6972,-122.4099,3.8426
2.0506,3,4.558,0.912,419,3.582,39.1385,-118.186,2.5923
1.802,18,6.507,1.793,1167,3.245,33.123,-118.5456,3.7693
3.0705,41,5.971,2.101,775,3.468,37.2383,-119.2152,3.5379
3.0725,14,5.057,1.7,1077,3.392,35.6771,-121.3914,3.2532
2.1097,31,7.458,2.279,195,3.622,38.6345,-122.0109,2.0149
2.1479,27,9.797,3.394,670,3.345,40.9455,-115.1507,2.462
3.0527,17,8.031,2.058,752,3.978,33.6922,-123.987,3.6977
1.3178,46,8.148,2.464,663,4.087,36.7779,-117.6078,3.3567
1.3448,29,7.55,1.946,672,3.53,36.5203,-124.2944,1.9521
1.898,36,7.441,2.282,566,2.839,35.5761,-122.4647,3.0005
2.4431,37,4.612,1.614,2056,3.97,37.0616,-121.4604,3.1744
3.1755,26,6.313,2.141,751,3.024,40.8669,-115.1919,3.6097
5.6841,17,7.221,2.247,707,3.857,41.7498,-123.0538,5.0007
4.1738,22,7.256,2.536,1062,3.758,32.527,-114.653,4.3223
2.5094,25,8.563,3.035,502,3.545,39.5208,-115.9377,2.3308
2.6926,2,5.288,2.062,349,4.092,38.3433,-117.37,2.7313
1.6466,22,7.377,2.644,1046,3.923,41.9479,-120.1767,2.4019
2.6932,5,5.256,1.749,562,3.937,33.3543,-114.9948,2.5821
2.353,4,6.206,2.152,1313,4.203,40.2078,-118.9565,2.6583
3.1943,36,6.399,1.998,1272,3.503,41.3723,-120.6023,3.6737
1.7975,6,7.805,2.232,208,3.496,41.1651,-118.3509,1.4277
3.5243,21,7.604,2.611,689,4.372,37.8254,-122.0612,3.4296
5.8496,13,6.646,2.246,1139,4.091,35.6118,-121.6348,5.4432
2.5744,37,4.35,1.368,276,3.475,38.5791,-114.8472,3.3302
3.323,25,7.122,2.067,798,2.821,35.4077,-116.1638,4.2999
3.8385,26,6.136,1.764,924,3.94,36.4166,-119.1082,4.4699
2.2242,39,8.804,2.461,647,3.996,36.7344,-120.126,3.4982
3.0406,20,8.335,3.024,649,3.133,35.3685,-116.0205,3.3135
2.7355,33,5.382,1.932,1210,3.294,35.7474,-118.5083,3.7415
2.8543,14,7.337,2.618,315,3.505,32.5695,-120.1421,3.1984
1.8469,36,7.369,1.823,1007,3.976,35.3222,-119.0878,3.6204
2.7518,17,7.253,2.046,836,5.467,36.9869,-122.0566,2.3802
3.4869,21,7.052,2.025,1275,4.399,34.1436,-122.3793,4.1298
5.6157,46,7.414,2.0,414,3.01,40.1531,-114.1145,5.5
4.3913,16,9.032,3.551,1391,3.491,37.6076,-114.3193,4.223
7.9772,46,5.798,1.856,332,3.667,40.0419,-120.0813,5.5
1.8521,16,5.415,1.714,563,4.006,33.717,-119.0898,2.6466
4.2045,20,7.668,2.122,371,3.311,40.2949,-115.8145,4.2011
2.9792,29,4.547,1.56,955,4.055,41.6035,-116.8787,3.1004
